dataset,model,method,per_image_total_sec,per_image_attribution_sec,estimated,time_100_images_sec,time_500_images_sec
imagenet,vgg16,gradcam,0.17043424271878393,0.00834473546885306,1,22.15645155344191,110.78225776720956
imagenet,vgg16,ig,0.5198010995937352,0.1294713544688193,1,67.57414294718558,337.8707147359279
imagenet,vgg16,kernelshap,3.518296771156372,1.1233067449687724,1,457.37858025032835,2286.892901251642
imagenet,vgg16,rise,3.1632929766563507,1.009929863281286,1,411.2280869653256,2056.140434826628
imagenet,vgg16,lime,3.6039689230000533,1.1558132613749876,1,468.51595999000693,2342.5797999500346
imagenet,vgg16,ablation,0.4572608914374996,0.1060938176562729,1,59.44391588687495,297.21957943437474
imagenet,resnet50,gradcam,0.11082318053121298,0.011657982062615702,1,14.407013469057688,72.03506734528844
imagenet,resnet50,ig,0.33912587875011013,0.08886601984377762,1,44.08636423751432,220.4318211875716
imagenet,resnet50,kernelshap,2.2993029020936433,0.7438774100311605,1,298.90937727217363,1494.5468863608683
imagenet,resnet50,rise,1.9273872353749368,0.6168825808125291,1,250.5603405987418,1252.801702993709
imagenet,resnet50,lime,2.3825207200937086,0.7643054259063149,1,309.7276936121821,1548.6384680609106
imagenet,resnet50,ablation,0.2849066610000932,0.0689836730936122,1,37.03786593001212,185.18932965006059
imagenet,densenet121,gradcam,0.1336623171874578,0.018135559187555828,1,17.376101234369514,86.88050617184757
imagenet,densenet121,ig,0.3789509427812163,0.10029698331257464,1,49.26362256155812,246.3181128077906
imagenet,densenet121,kernelshap,2.5281144069999755,0.8063622003749344,1,328.6548729099968,1643.274364549984
imagenet,densenet121,rise,2.1693597599062286,0.6963937631562942,1,282.0167687878097,1410.0838439390486
imagenet,densenet121,lime,2.6029021769062126,0.8406769452812739,1,338.37728299780764,1691.8864149890385
imagenet,densenet121,ablation,0.3356460442187199,0.08292726743732715,1,43.63398574843359,218.16992874216794
voc2007,vgg16,gradcam,0.15942174200012005,0.00785311600014893,0,20.724826460015606,103.62413230007803
voc2007,vgg16,ig,0.5303667036250772,0.1327351120000344,0,68.94767147126004,344.7383573563002
voc2007,vgg16,kernelshap,3.57846137306268,1.1403863693124663,0,465.1999784981484,2325.9998924907422
voc2007,vgg16,rise,3.228883248000102,1.031622183937543,0,419.75482224001325,2098.7741112000663
voc2007,vgg16,lime,3.6771366577499975,1.17927323318753,0,478.0277655074997,2390.1388275374984
voc2007,vgg16,ablation,0.46895177812490374,0.10817570912496421,0,60.963731156237486,304.81865578118743
voc2007,resnet50,gradcam,0.11999810450004134,0.013691184437675474,0,15.599753585005374,77.99876792502687
voc2007,resnet50,ig,0.3436986170000864,0.09020753300006845,0,44.680820210011234,223.40410105005617
voc2007,resnet50,kernelshap,2.356213614062426,0.7779427681250013,0,306.3077698281154,1531.538849140577
voc2007,resnet50,rise,1.957793962562448,0.6281136863124743,0,254.51321513311825,1272.5660756655914
voc2007,resnet50,lime,2.4174182764999728,0.7737790867500394,0,314.26437594499646,1571.3218797249824
voc2007,resnet50,ablation,0.28968088668750624,0.07048255774975587,0,37.65851526937581,188.29257634687906
voc2007,densenet121,gradcam,0.13806709406242135,0.01897685000005822,0,17.948722228114775,89.74361114057388
voc2007,densenet121,ig,0.38846994537499313,0.10302556100009497,0,50.50109289874911,252.50546449374554
voc2007,densenet121,kernelshap,2.5805144128750044,0.8259839702498653,0,335.46687367375057,1677.3343683687528
voc2007,densenet121,rise,2.2122920273125146,0.7116275535624936,0,287.5979635506269,1437.9898177531345
voc2007,densenet121,lime,2.6217105393122893,0.8479734884375603,0,340.8223701105976,1704.111850552988
voc2007,densenet121,ablation,0.3418551385624937,0.08460017012487242,0,44.441168013124184,222.20584006562092
chncxr_shenzhen,vgg16,gradcam,0.18144674343744782,0.00883635493755719,0,23.588076646868217,117.94038323434108
chncxr_shenzhen,vgg16,ig,0.5092354955623932,0.1262075969376042,0,66.20061442311112,331.0030721155556
chncxr_shenzhen,vgg16,kernelshap,3.4581321692500637,1.1062271206250784,0,449.5571820025083,2247.7859100125415
chncxr_shenzhen,vgg16,rise,3.0977027053125994,0.9882375426250292,0,402.7013516906379,2013.5067584531896
chncxr_shenzhen,vgg16,lime,3.530801188250109,1.1323532895624453,0,459.0041544725142,2295.020772362571
chncxr_shenzhen,vgg16,ablation,0.44557000475009545,0.1040119261875816,0,57.92410061751241,289.62050308756204
chncxr_shenzhen,resnet50,gradcam,0.10164825656238463,0.009624779687555929,0,13.214273353110002,66.07136676555001
chncxr_shenzhen,resnet50,ig,0.33455314050013385,0.08752450668748679,0,43.4919082650174,217.459541325087
chncxr_shenzhen,resnet50,kernelshap,2.2423921901248605,0.7098120519373197,0,291.51098471623186,1457.5549235811593
chncxr_shenzhen,resnet50,rise,1.8969805081874256,0.6056514753125839,0,246.60746606436533,1233.0373303218266
chncxr_shenzhen,resnet50,lime,2.3476231636874445,0.7548317650625904,0,305.1910112793678,1525.955056396839
chncxr_shenzhen,resnet50,ablation,0.2801324353126802,0.06748478843746852,0,36.41721659064842,182.0860829532421
chncxr_shenzhen,densenet121,gradcam,0.12925754031249426,0.017294268375053434,0,16.803480240624253,84.01740120312127
chncxr_shenzhen,densenet121,ig,0.3694319401874395,0.09756840562505431,0,48.02615222436714,240.1307611218357
chncxr_shenzhen,densenet121,kernelshap,2.4757144011249466,0.7867404305000036,0,321.84287214624305,1609.2143607312153
chncxr_shenzhen,densenet121,rise,2.1264274924999427,0.6811599727500948,0,276.43557402499255,1382.1778701249627
chncxr_shenzhen,densenet121,lime,2.584093814500136,0.8333804021249875,0,335.9321958850177,1679.6609794250885
chncxr_shenzhen,densenet121,ablation,0.3294369498749461,0.08125436474978187,0,42.82680348374299,214.13401741871496
