dataset,model,method,method_setting,per_image_attribution_sec,per_image_total_sec,estimated,time_100_images_sec,time_500_images_sec
voc2007,vgg16,ablation,main_p2_config,0.10817570912496421,0.46895177812490374,0,60.963731156237486,304.81865578118743
voc2007,vgg16,lime,main_p2_config,1.17927323318753,3.6771366577499975,0,478.0277655074997,2390.1388275374984
voc2007,vgg16,fourier_shap,n_samples=512,1.0196034570000165,3.166872226249893,0,411.6933894124861,2058.466947062431
voc2007,vgg16,ma_gig,n_steps=200_reference,24.79398701224966,74.52278760562376,1,9687.96238873109,48439.81194365545
voc2007,resnet50,gradcam,main_p2_config,0.013691184437675474,0.11999810450004134,0,15.599753585005374,77.99876792502687
voc2007,resnet50,kernelshap,main_p2_config,0.7779427681250013,2.356213614062426,0,306.3077698281154,1531.538849140577
voc2007,resnet50,ig,main_p2_config,0.09020753300006845,0.3436986170000864,0,44.680820210011234,223.40410105005617
voc2007,resnet50,rise,main_p2_config,0.6281136863124743,1.957793962562448,0,254.51321513311825,1272.5660756655914
voc2007,resnet50,ablation,main_p2_config,0.07048255774975587,0.28968088668750624,0,37.65851526937581,188.29257634687906
voc2007,resnet50,lime,main_p2_config,0.7737790867500394,2.4174182764999728,0,314.26437594499646,1571.3218797249824
voc2007,resnet50,fourier_shap,n_samples=512,0.6176959572499072,1.918647204625131,0,249.42413660126704,1247.1206830063352
voc2007,resnet50,ma_gig,n_steps=200_reference,24.70138323774961,74.14036198437384,1,9638.2470579686,48191.235289842996
voc2007,densenet121,gradcam,main_p2_config,0.01897685000005822,0.13806709406242135,0,17.948722228114775,89.74361114057388
voc2007,densenet121,kernelshap,main_p2_config,0.8259839702498653,2.5805144128750044,0,335.46687367375057,1677.3343683687528
voc2007,densenet121,ig,main_p2_config,0.10302556100009497,0.38846994537499313,0,50.50109289874911,252.50546449374554
voc2007,densenet121,rise,main_p2_config,0.7116275535624936,2.2122920273125146,0,287.5979635506269,1437.9898177531345
voc2007,densenet121,ablation,main_p2_config,0.08460017012487242,0.3418551385624937,0,44.441168013124184,222.20584006562092
voc2007,densenet121,lime,main_p2_config,0.8479734884375603,2.6217105393122893,0,340.8223701105976,1704.111850552988
voc2007,densenet121,fourier_shap,n_samples=512,0.6597469051247344,2.0638592268750244,0,268.3016994937532,1341.5084974687659
voc2007,densenet121,ma_gig,n_steps=200_reference,25.266541657124435,75.8495787251237,1,9860.44523426608,49302.22617133041
chncxr_shenzhen,vgg16,gradcam,main_p2_config,0.00883635493755719,0.18144674343744782,0,23.588076646868217,117.94038323434108
chncxr_shenzhen,vgg16,kernelshap,main_p2_config,1.1062271206250784,3.4581321692500637,0,449.5571820025083,2247.7859100125415
chncxr_shenzhen,vgg16,ig,main_p2_config,0.1262075969376042,0.5092354955623932,0,66.20061442311112,331.0030721155556
chncxr_shenzhen,vgg16,rise,main_p2_config,0.9882375426250292,3.0977027053125994,0,402.7013516906379,2013.5067584531896
chncxr_shenzhen,vgg16,ablation,main_p2_config,0.1040119261875816,0.44557000475009545,0,57.92410061751241,289.62050308756204
chncxr_shenzhen,vgg16,lime,main_p2_config,1.1323532895624453,3.530801188250109,0,459.0041544725142,2295.020772362571
chncxr_shenzhen,vgg16,fourier_shap,n_samples=512,0.9948049657502906,3.1132579751249523,0,404.7235367662438,2023.617683831219
chncxr_shenzhen,vgg16,ma_gig,n_steps=200_reference,24.7712982717494,74.45996940374891,1,9679.796022487359,48398.980112436795
chncxr_shenzhen,resnet50,gradcam,main_p2_config,0.009624779687555929,0.10164825656238463,0,13.214273353110002,66.07136676555001
chncxr_shenzhen,resnet50,kernelshap,main_p2_config,0.7098120519373197,2.2423921901248605,0,291.51098471623186,1457.5549235811593
chncxr_shenzhen,resnet50,ig,main_p2_config,0.08752450668748679,0.33455314050013385,0,43.4919082650174,217.459541325087
chncxr_shenzhen,resnet50,rise,main_p2_config,0.6056514753125839,1.8969805081874256,0,246.60746606436533,1233.0373303218266
chncxr_shenzhen,resnet50,ablation,main_p2_config,0.06748478843746852,0.2801324353126802,0,36.41721659064842,182.0860829532421
chncxr_shenzhen,resnet50,lime,main_p2_config,0.7548317650625904,2.3476231636874445,0,305.1910112793678,1525.955056396839
chncxr_shenzhen,resnet50,fourier_shap,n_samples=512,0.6160461191251443,1.9080616282500387,0,248.04801167250503,1240.2400583625251
chncxr_shenzhen,resnet50,ma_gig,n_steps=200_reference,24.746389240749863,74.30086234087389,1,9659.112104313606,48295.56052156803
chncxr_shenzhen,densenet121,gradcam,main_p2_config,0.017294268375053434,0.12925754031249426,0,16.803480240624253,84.01740120312127
chncxr_shenzhen,densenet121,kernelshap,main_p2_config,0.7867404305000036,2.4757144011249466,0,321.84287214624305,1609.2143607312153
chncxr_shenzhen,densenet121,ig,main_p2_config,0.09756840562505431,0.3694319401874395,0,48.02615222436714,240.1307611218357
chncxr_shenzhen,densenet121,rise,main_p2_config,0.6811599727500948,2.1264274924999427,0,276.43557402499255,1382.1778701249627
chncxr_shenzhen,densenet121,ablation,main_p2_config,0.08125436474978187,0.3294369498749461,0,42.82680348374299,214.13401741871496
chncxr_shenzhen,densenet121,lime,main_p2_config,0.8333804021249875,2.584093814500136,0,335.9321958850177,1679.6609794250885
chncxr_shenzhen,densenet121,fourier_shap,n_samples=512,0.6592687750002142,2.0530054068748314,0,266.8907028937281,1334.4535144686404
chncxr_shenzhen,densenet121,ma_gig,n_steps=200_reference,25.199243079249413,75.66875668799867,1,9836.938369439828,49184.69184719914
