dataset,model,image_id,target,n_samples,time_ms,map_min,map_max,peak_memory_mib,reference_n_samples,spearman_to_reference,top10_jaccard_to_reference,degenerate
imagenet,resnet50,ILSVRC2012_val_00012132,17,1024,1522.9551259999425,0.0,1.0,291.84326171875,4096,0.6505102040816327,1.0,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,1024,1523.0267419999564,0.0,1.0,291.84326171875,4096,0.8091836734693878,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,1024,1523.2229769999321,0.0,1.0,291.84326171875,4096,0.7051020408163265,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,1024,1523.50225400005,0.0,1.0,291.84326171875,4096,0.8539795918367348,1.0,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,1024,1523.4363330000633,0.0,1.0,291.84326171875,4096,0.6514285714285716,0.42857142857142855,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,1024,1524.4322799999281,0.0,1.0,291.84326171875,4096,0.7404081632653061,1.0,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,1024,1523.5204749999411,0.0,1.0,291.84326171875,4096,0.6530612244897959,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,1024,1524.7168039998087,0.0,1.0,291.84326171875,4096,0.7392857142857143,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,1024,1523.7287510001352,0.0,1.0,291.84326171875,4096,0.5960204081632654,0.1111111111111111,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,1024,1524.165443999891,0.0,1.0,291.84326171875,4096,0.8172448979591836,0.42857142857142855,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,2048,3046.2561560000267,0.0,1.0,296.24951171875,4096,0.7941836734693879,1.0,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,2048,3063.6551909999525,0.0,1.0,296.24951171875,4096,0.9244897959183673,1.0,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,2048,3062.0401080000192,0.0,1.0,296.24951171875,4096,0.8373469387755103,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,2048,3062.559333000081,0.0,1.0,296.24951171875,4096,0.9142857142857144,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,2048,3135.49983300004,0.0,1.0,296.24951171875,4096,0.7823469387755102,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,2048,3053.3911830000307,0.0,1.0,296.24951171875,4096,0.8893877551020409,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,2048,3053.8662830001613,0.0,1.0,296.24951171875,4096,0.8425510204081633,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,2048,3057.6209590001326,0.0,1.0,296.24951171875,4096,0.8342857142857143,0.6666666666666666,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,2048,3064.6027759999015,0.0,1.0,296.24951171875,4096,0.8310204081632652,0.42857142857142855,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,2048,3066.75032499993,0.0,1.0,296.24951171875,4096,0.8793877551020407,0.42857142857142855,False
imagenet,resnet50,ILSVRC2012_val_00012132,17,4096,6127.9649289999725,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00000140,558,4096,6127.23532699988,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00031295,237,4096,6113.442655999961,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00004300,330,4096,6112.442364999879,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00007011,140,4096,6104.82848599986,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00008228,381,4096,6106.301110999993,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00016006,732,4096,6176.985281999805,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00023543,254,4096,6099.6984480000265,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00023347,89,4096,6130.060687000196,0.0,1.0,305.06201171875,4096,1.0,1.0,False
imagenet,resnet50,ILSVRC2012_val_00011253,363,4096,6126.9649799999115,0.0,1.0,305.06201171875,4096,1.0,1.0,False
